"p_id","cellSize","Vimentin","SMA","Lag3","CD4","CD16","CD56","PD1","CD31","Ki67","CD209","CD11c","CD138","CD68","CSF-1R","CD8","CD3","IDO","Keratin17","CD63","CD45RO","CD20","p53","Beta catenin","HLA-DR","CD11b","CD45","H3K9ac","Pan-Keratin","H3K27me3","phospho-S6","MPO","Keratin6","HLA_Class_1","tumorYN","B7H3","FoxP3","OX40","PD-L1","EGFR","CD163"
"p21",0.0774092997310832,0.310742151009857,0.549337878561591,0.0407173046475351,0.164183070884686,0.345262823242993,0.245955290273686,0.0614756558533345,0.270003503563374,0.234344250993242,0.341306733364787,0.277940159863143,0.364207305054668,0.228638187684274,0.204628604391475,0.0968897467515726,0.120791094128059,0.268355349242189,0.434642210489323,0.242494144685927,0.310402393685795,0.165754468700753,0.218135430302679,0.388943697287895,0.265942661228315,0.268667396571642,0.39403193787,0.410572047496573,0.421492762758181,0.316484137903023,0.574691771056752,0.276186556641387,0.557911492767542,0.572671993583201,0.359172433786429,NA,-0.000427377886044777,0.214678792924618,0.146685034450476,0.508570410050239,0.261167828869132
"p23",0.0911591612311011,0.484336210353997,0.431198668157742,0.0297488166626391,0.293587552454438,0.349918399117068,0.278202998964966,0.205013324484934,0.322851133844759,0.247841494791476,0.0835168252515597,0.412238234638197,0.345397242393043,0.347096968869273,0.244539011698882,0.214813033095049,0.297222946300762,0.0569795097903703,0.422280780810875,0.132765471527472,0.392988031810484,0.171083741776711,0.129623599450906,0.354639133610369,0.596407606517509,0.475971770124807,0.612089611867424,0.469874493689452,0.42680537614473,0.419215140144815,0.63158840383528,0.0605588324273115,0.585727478574392,0.771055860355914,0.487051962396016,NA,0.0778925002671136,0.0784029312418644,0.131110714132355,0.318583659064753,0.0792933322551108
"p24",0.107081172754432,0.371267993641398,0.202888592301963,0.0998990408135432,0.285604993199087,0.178575000527122,NA,0.208201833098019,0.0826378650926951,0.228359140159579,0.0179574032206059,0.196401164655863,0.46542838174735,0.108519780471741,0.117074992341131,0.00508536775492299,0.221832990477373,0.32823548282427,0.548743531061194,0.327773114909438,0.401424349572355,0.00614012815506906,0.441607929692336,0.466609455403475,0.510330053696547,0.296266598475873,0.26186798012369,0.548228802487175,0.450367134804952,0.423329566492334,0.839353624724669,0.38984701150494,0.542583898761549,0.68657706876727,0.25344222612869,0.216280964294526,0.0461820642571376,0.0748586247252375,-0.000327864131884477,0.446803994356845,0.0275892927765319
"p25",0.108250967158649,0.598880499716433,0.559432534892334,0.117498252311677,0.235306486205864,0.145878680594467,0.0600392092309168,0.0665408974450129,0.314272217959744,0.122350035448478,-0.000580676380450565,0.191427275845145,0.572906999648781,0.0959925000249459,0.0604155983419639,0.137336614619433,0.258109105472665,NA,0.570291603283123,0.145123877851231,0.243929061969228,NA,0.111015437124356,0.604034373456267,0.26395820901381,0.0179425725119096,0.280989548930036,0.532566143373955,0.607808261160851,0.299415565929197,0.433819069059347,0.041985290406982,0.704570542866674,0.626457871553623,0.197110824758608,-0.000357546104629281,-0.00245002950254118,0.0619981385706707,0.0831482939077985,0.532689502280338,NA
"p26",0.0941020274205778,0.498682567178566,0.633675924189524,NA,0.154221497083584,0.163961246348891,NA,0.261268257300859,0.235719206430182,0.270818524436841,0.162662462892402,0.236327521886925,0.491667709707765,0.46436694776217,0.0898180421586578,0.0507612314619697,0.0321503073060574,NA,0.323665154010812,0.327148769096267,0.135750779051202,NA,0.602304944203952,0.358420182275204,0.521170761400571,0.126748937698865,0.231626546998133,0.688533764259229,0.251713208712331,0.43894566465464,0.452426038200449,0.0980406966429243,0.151998771176686,0.583212935540014,0.314049754134565,NA,NA,NA,0.139762022553166,0.263754089374753,NA
"p27",0.0895294219276536,0.427077517519629,0.432211570566635,0.0801647782230212,0.178297420452988,0.488219043175359,0.0323334222085647,0.173202669966212,0.273536192196605,0.356604843384616,0.269299591159502,0.233137004765073,0.308798998870886,0.317802092392704,0.138182420651024,0.251282717850592,0.161209040475499,0.173018104766936,0.126331815695287,0.266793322084748,0.363686061199878,-0.000255779070499013,0.169653174963403,0.413086438037532,0.512094308413466,0.135744822392536,0.466982935953313,0.391099316078275,0.379216772590666,0.352940640406765,0.464358651285534,0.238149863990956,0.373893901796057,0.717177380441436,0.436535930662982,0.081456123653138,NA,0.0503728137533319,0.124692502875197,0.362512050032834,0.0507418964845143
"p28",0.300094357870345,0.569905088377511,0.464962165924193,0.251228825383922,0.533268587232428,0.226129638302793,0.257038459276246,0.401570532276743,0.250019687916922,0.224610835495612,0.411677317758645,0.558506960861759,0.613860945100203,0.305260270044833,0.652455962593087,0.371746891545707,0.501554806345204,0.376464425231608,0.329094844239434,0.302777373186938,0.518439535375436,0.775929395591814,0.389691375104299,0.642801663660179,0.698119293427343,0.347235774435625,0.810883606558226,0.372351501476351,0.799238947588697,0.399488766074768,0.592018674427942,0.312299290390883,0.823734792691303,0.740620845441432,0.817120425974889,-0.000255613365472533,0.0537262895860332,0.23392001509852,0.209785525754042,0.534303302538939,0.0855556091457553
"p29",0.124961889509278,0.286410165208498,0.381008593766191,0.117475298252554,0.341278861060168,0.33353963855462,0.0627357192967355,0.261743122724182,0.130712302187026,0.284439652526291,0.274446559980862,0.454301438354703,0.305214817637057,0.414113105326452,0.10574099675457,0.473075465103304,0.45643347717799,0.31901384284706,0.490188308642763,0.353722020124219,0.44767884503159,0.237731253077244,0.141661958036924,0.503055254376956,0.489231716535124,0.237127535814541,0.641830735552961,0.384539639891015,0.494879072764612,0.32650248747355,0.431732559899064,0.179135128576976,0.509395599440494,0.680898066680732,0.541391698737952,NA,0.0469961978260011,0.1369542666001,0.160239649147772,0.115588048007904,0.213102907867235
"p3",0.128477812316612,0.518263159847612,0.457869679009981,0.36610984771461,0.436594715799159,0.28672219497297,0.134144442145383,0.33848399208249,0.286514469105646,0.127715294512016,0.493053005879521,0.536997888389692,0.347142749751567,0.293930156675574,0.160644050689309,0.343111180045896,0.437266047439904,0.286442626976768,0.0341865647197623,0.235448260362344,0.526161699217078,0.587933756548819,0.284877934098273,0.541098239930222,0.551722306400726,0.298448650358782,0.676539618178831,0.478179311952906,0.552546920439581,0.363672009327664,0.52054770065509,0.172935346637384,0.49280878140325,0.739866352799747,0.57699277281418,NA,0.105711031719338,0.220140504564186,0.161047559733508,0.184219992790748,-0.000166830072494463
"p31",0.0620206365882025,0.457379727717677,0.444442494099297,-0.000327084553798087,0.138497495422017,0.230301601522059,0.282886187552507,0.16143110837076,0.255936851266477,0.253011370723148,NA,0.228412790722064,0.398041181376595,0.206310020712293,0.2007029837108,0.206236998080215,0.198434957727509,0.318003260096423,0.49131304705192,0.199738750034265,0.153256894059153,NA,0.422684037092632,0.45088755692753,0.262725293243898,0.111033838702124,0.266591499666158,0.291725103188971,0.583941044701206,0.321078019766062,0.35481075526642,0.201855950328421,0.574506790856767,0.521167491399475,0.213717305802237,NA,NA,0.199624279079844,0.330902571427428,0.448384208160345,0.0757170345813454
